"source","source_row","source_col","dataset_label","method","metric","value","dataset","endpoint","provenance_note","paper_metric","matches_paper_metric","paper_score","difference_from_paper"
"April29.csv",16,36,"MNIST12","ctgan","test_f1_macro_max",0.481595237719201,"MNIST12","max","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA
"April29.csv",26,36,"MNIST12","tvae","test_f1_macro_max",0.924846294322351,"MNIST12","max","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA
"April29.csv",16,37,"MNIST28","ctgan","test_f1_macro_max",0.445358108102636,"MNIST28","max","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA
"April29.csv",26,37,"MNIST28","tvae","test_f1_macro_max",0.935625921,"MNIST28","max","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA
"April29.csv",16,45,"Adult","ctgan","test_f1_micro_end",0.818916649170691,"Adult","end","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA
"April29.csv",26,45,"Adult","tvae","test_f1_micro_end",0.807264329,"Adult","end","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA
"April29.csv",16,46,"Census","ctgan","test_f1_micro_end",0.809573798026454,"Adult","end","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA
"April29.csv",26,46,"Census","tvae","test_f1_micro_end",0.804534956959899,"Adult","end","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA
"April29.csv",16,47,"Census_Kdd","ctgan","test_f1_micro_end",0.822170900692841,"Adult","end","Confirmed final routing to Adult/Census, not Census-KDD","Binary F1",FALSE,NA,NA
"April29.csv",26,47,"Census_Kdd","tvae","test_f1_micro_end",0.804849884526559,"Adult","end","Confirmed final routing to Adult/Census, not Census-KDD","Binary F1",FALSE,NA,NA
"April29.csv",16,48,"Covertype","ctgan","test_f1_micro_end",0.676402502517147,"Covertype","end","Historical synthetic-only pivot","Macro-F1",FALSE,NA,NA
"April29.csv",26,48,"Covertype","tvae","test_f1_micro_end",0.643942066900166,"Covertype","end","Historical synthetic-only pivot","Macro-F1",FALSE,NA,NA
"April29.csv",16,49,"MNIST12","ctgan","test_f1_micro_end",0.5326,"MNIST12","end","Historical synthetic-only pivot","Accuracy",TRUE,0.394,0.1386
"April29.csv",26,49,"MNIST12","tvae","test_f1_micro_end",0.9219,"MNIST12","end","Historical synthetic-only pivot","Accuracy",TRUE,0.793,0.1289
"April29.csv",16,50,"MNIST28","ctgan","test_f1_micro_end",0.4077,"MNIST28","end","Historical synthetic-only pivot","Accuracy",TRUE,0.371,0.0367
"April29.csv",26,50,"MNIST28","tvae","test_f1_micro_end",0.9291,"MNIST28","end","Historical synthetic-only pivot","Accuracy",TRUE,0.794,0.1351
"April29.csv",16,58,"Adult","ctgan","test_f1_micro_max",0.832878437959269,"Adult","max","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA
"April29.csv",26,58,"Adult","tvae","test_f1_micro_max",0.816712156204073,"Adult","max","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA
"April29.csv",16,59,"Census","ctgan","test_f1_micro_max",0.82605500734831,"Adult","max","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA
"April29.csv",26,59,"Census","tvae","test_f1_micro_max",0.814402687381902,"Adult","max","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA
