"dataset_label","method","metric","source_older","source_row_older","source_col_older","value_older","dataset_older","endpoint_older","provenance_note_older","paper_metric_older","matches_paper_metric_older","paper_score_older","difference_from_paper_older","source_April29","source_row_April29","source_col_April29","value_April29","dataset_April29","endpoint_April29","provenance_note_April29","paper_metric_April29","matches_paper_metric_April29","paper_score_April29","difference_from_paper_April29","absolute_difference"
"MNIST28","ctgan","test_f1_macro_max","Mar23.csv",16,19,0.445358108102636,"MNIST28","max","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA,"April29.csv",16,37,0.445358108102636,"MNIST28","max","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA,0
"MNIST28","ctgan","test_f1_micro_end","April02.csv",16,34,0.4077,"MNIST28","end","Historical synthetic-only pivot","Accuracy",TRUE,0.371,0.0367,"April29.csv",16,50,0.4077,"MNIST28","end","Historical synthetic-only pivot","Accuracy",TRUE,0.371,0.0367,0
"MNIST28","ctgan","test_f1_micro_end","Mar23.csv",16,28,0.4077,"MNIST28","end","Historical synthetic-only pivot","Accuracy",TRUE,0.371,0.0367,"April29.csv",16,50,0.4077,"MNIST28","end","Historical synthetic-only pivot","Accuracy",TRUE,0.371,0.0367,0
"MNIST28","ctgan","test_f1_micro_max","April02.csv",16,45,0.5341,"MNIST28","max","Historical synthetic-only pivot","Accuracy",TRUE,0.371,0.1631,"April29.csv",16,63,0.5341,"MNIST28","max","Historical synthetic-only pivot","Accuracy",TRUE,0.371,0.1631,0
"MNIST28","ctgan","test_f1_micro_max","Mar23.csv",16,37,0.5341,"MNIST28","max","Historical synthetic-only pivot","Accuracy",TRUE,0.371,0.1631,"April29.csv",16,63,0.5341,"MNIST28","max","Historical synthetic-only pivot","Accuracy",TRUE,0.371,0.1631,0
"MNIST28","tvae","test_f1_macro_end","April02.csv",26,12,0.928944942288383,"MNIST28","end","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA,"April29.csv",26,24,0.928944942288383,"MNIST28","end","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA,0
"MNIST28","tvae","test_f1_macro_end","Mar23.csv",26,10,0.928944942288383,"MNIST28","end","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA,"April29.csv",26,24,0.928944942288383,"MNIST28","end","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA,0
"MNIST28","tvae","test_f1_macro_max","April02.csv",26,23,0.935625921,"MNIST28","max","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA,"April29.csv",26,37,0.935625921,"MNIST28","max","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA,0
"MNIST28","tvae","test_f1_macro_max","Mar23.csv",26,19,0.935625921,"MNIST28","max","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA,"April29.csv",26,37,0.935625921,"MNIST28","max","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA,0
"MNIST28","tvae","test_f1_micro_end","April02.csv",26,34,0.9291,"MNIST28","end","Historical synthetic-only pivot","Accuracy",TRUE,0.794,0.1351,"April29.csv",26,50,0.9291,"MNIST28","end","Historical synthetic-only pivot","Accuracy",TRUE,0.794,0.1351,0
"MNIST28","tvae","test_f1_micro_end","Mar23.csv",26,28,0.9291,"MNIST28","end","Historical synthetic-only pivot","Accuracy",TRUE,0.794,0.1351,"April29.csv",26,50,0.9291,"MNIST28","end","Historical synthetic-only pivot","Accuracy",TRUE,0.794,0.1351,0
"MNIST28","tvae","test_f1_micro_max","Mar23.csv",26,37,0.9361,"MNIST28","max","Historical synthetic-only pivot","Accuracy",TRUE,0.794,0.1421,"April29.csv",26,63,0.9361,"MNIST28","max","Historical synthetic-only pivot","Accuracy",TRUE,0.794,0.1421,0
"MNIST28","tvae","test_f1_micro_max","April02.csv",26,45,0.9361,"MNIST28","max","Historical synthetic-only pivot","Accuracy",TRUE,0.794,0.1421,"April29.csv",26,63,0.9361,"MNIST28","max","Historical synthetic-only pivot","Accuracy",TRUE,0.794,0.1421,0
