global_round,train_loss,train_mae,train_mse,train_r2,train_mape,dev_loss,dev_mae,dev_mse,dev_r2,dev_mape,test_loss,test_mae,test_mse,test_r2,test_mape
37,37548343.139473684,1491.890054189155,37548344.11324971,-0.03719872080650788,0.8270427470879063,14043458.653846154,1402.8397882290376,14043458.898459524,-0.09846124659696343,0.7994296799223181,128455118.94665153,2988.0211702361958,128455113.10890251,-0.06449954610728725,0.8167806330269795
38,37439918.26236842,1469.421058921563,37439917.26485047,-0.034203643630225766,0.8086457445820209,13972728.009615384,1392.268264959256,13972727.99635623,-0.0929287666389218,0.7925263437212129,128300059.90238366,2976.794700719742,128300059.05087931,-0.06321462275629641,0.8105635631299439
39,37403294.52263158,1464.3195142804948,37403296.83143344,-0.033192076606631815,0.8068220644607692,13944600.275641026,1382.5909451788816,13944600.827325149,-0.09072869574609377,0.7867026830334342,128206962.54458317,2964.0773188532908,128206960.69158737,-0.06244312243364614,0.8035552516711576
40,37328994.74289474,1448.4282861729673,37328994.44400485,-0.031139620153123104,0.791135413958172,13907243.125,1370.1535564737442,13907243.490826016,-0.08780665305582191,0.7785876845287377,128135249.11439021,2954.0803360368313,128135245.1589405,-0.061848820267669025,0.7965822900653489
41,37295321.677894734,1443.7221729747873,37295320.274185985,-0.03020943783256591,0.7848788673260805,13903074.538461538,1372.1459351189626,13903075.043938618,-0.08748060251532386,0.7833627221071833,128113019.16509017,2950.460021095117,128113023.22744736,-0.061664668501222764,0.7979045020052624
42,37207119.43710526,1422.5844174500517,37207121.91608449,-0.027773132680887436,0.7690802022906589,13868151.721153846,1365.8331570075109,13868151.644334922,-0.08474893923055493,0.779261442032446,127979092.86492622,2940.732062613172,127979098.68214369,-0.060554844110133565,0.7942184019859784
43,37191908.571842104,1412.4276833820343,37191909.22352545,-0.027352912145604424,0.7603496309779947,13866512.275641026,1356.3549156739161,13866511.818290118,-0.08462067415181607,0.7698784981888912,127887020.5428175,2928.4899920163953,127887023.310329,-0.059791821221186314,0.7856415993483318
44,37036588.71526316,1398.5272837187115,37036587.85928347,-0.023062466744874888,0.752258012858031,13902453.375,1363.4368779086149,13902453.081336826,-0.08743195340260579,0.7846923017392146,127855431.05183503,2938.305834187702,127855425.24427316,-0.05952997000981575,0.8024385929379669
45,36981177.12578947,1389.8899323927728,36981178.291440405,-0.021531887055024068,0.744540698248419,13843873.807692308,1351.686067261757,13843873.026872063,-0.08284989707885071,0.7782518213320756,127738876.4754698,2917.298156135935,127738874.90465316,-0.05856412458240201,0.7921054144313241
46,36900568.49710526,1369.8347318108458,36900567.90595288,-0.019305184634826666,0.7294529437307206,13735806.294871794,1330.0682923885493,13735806.142368807,-0.07439704472063857,0.760562813801411,127557866.36372809,2894.2304613274814,127557861.96150906,-0.05706408156229226,0.7736396963136168
47,36892252.35,1354.0490243098611,36892250.50737255,-0.019075432954114957,0.7167592366664861,13779059.294871794,1323.515434384346,13779059.492317686,-0.0777802659802922,0.7562629549461172,127541669.1378484,2889.5355455540725,127541674.56822585,-0.056929937639286,0.7702234797331279
48,36750935.33776316,1331.0992357208227,36750934.19409513,-0.015171849378808666,0.6973856182525625,13915432.362179488,1327.8251777459413,13915432.644616151,-0.08844719810572199,0.7576732770318247,127587181.59566149,2901.924394507594,127587185.82574208,-0.05730708660437012,0.7829630817363417
49,36629867.43355263,1315.4844774622666,36629866.329356655,-0.0118275891350339,0.6854307967296802,13709684.07051282,1298.1442414384621,13709683.964483492,-0.07235380164988214,0.7363571287804422,127254599.63501072,2858.5729259808977,127254595.49199525,-0.05455093116030452,0.7505245136369392
50,36561927.02368421,1302.9145219042427,36561927.9894213,-0.009950926902948742,0.674887123399009,13807899.746794872,1304.8005202328548,13807899.274412518,-0.08003607654808276,0.7473481306499207,127445425.7903897,2871.034436665984,127445429.94831565,-0.05613236445025449,0.7661443421254426
51,36532137.824210525,1287.4268644639064,36532136.656602286,-0.009128000272740966,0.6627186828988857,13720511.211538462,1280.7972657619378,13720511.594442204,-0.07320072490348628,0.7247829289220886,127505486.46058771,2851.2615873962473,127505490.54707545,-0.0566300829028048,0.7482666160095764
52,36346173.947105266,1271.0339821529387,36346173.70940946,-0.003991141764039252,0.6503545598337379,13957392.371794872,1294.1944680427894,13957392.106643228,-0.09172921312054538,0.7361639830233648,127540380.87173666,2870.6862352967546,127540387.31041634,-0.056919270213748874,0.7670885582492517
53,36456808.82644737,1264.344779510247,36456809.56876321,-0.007047238497651209,0.6460996578935966,13694567.83974359,1260.0289863439707,13694567.968534898,-0.0711714479382144,0.7088223407696699,127214333.7394375,2828.571122179959,127214335.0545219,-0.054217295414873856,0.7376265731211047
54,36207403.13447368,1240.0116311419638,36207402.93384446,-0.00015787363196850812,0.6281529930526393,13930072.060897436,1267.9144496122997,13930071.710712446,-0.08959224697932355,0.7183415988796104,127342603.05385295,2841.106712892657,127342606.1404175,-0.05528026993889146,0.7553851494712548
55,36237730.9806579,1234.756102786064,36237731.01759396,-0.0009956269447273236,0.6219336932840368,14007202.724358974,1269.3851486627873,14007202.199108582,-0.09562529432519828,0.7210576555613645,127351920.03960146,2839.094227573733,127351922.14233702,-0.05535747106833533,0.7563292381506788
56,36075200.55052631,1216.888538539033,36075200.676391415,0.0034939521823594832,0.6108154420816894,14079885.942307692,1262.8744291112973,14079885.938015372,-0.10131052265991003,0.7202777960099085,127273036.47925337,2831.7899565468792,127273025.91276082,-0.05470366291277973,0.7552333679677115
57,36121174.69131579,1202.8164088234148,36121174.985685654,0.0022240028432851666,0.597159653752408,13906175.865384616,1233.846843924278,13906175.651859159,-0.08772312806876692,0.692207934826375,127280679.54319586,2813.2145546316456,127280682.21270989,-0.054767110195051094,0.7352544646924342
58,35953732.495789476,1187.2516756645002,35953731.86632214,0.006849287747670907,0.5872762054469202,14145555.916666666,1244.82113413933,14145555.402065735,-0.10644710345995989,0.70569657830923,127657458.94110228,2821.0832841988395,127657462.777987,-0.05788946734388256,0.7472448761656859
59,35801378.17552631,1170.6319039420077,35801377.0961168,0.011057786857222252,0.574904121544262,14473615.698717948,1251.292166554011,14473616.558495764,-0.13210762409506493,0.7155122096070032,128048674.25879683,2833.7541851188516,128048670.20087688,-0.06113137896593712,0.7628876237979562
60,35867356.99539474,1140.133060889746,35867356.257439695,0.009235243058284603,0.5497831960995215,13882655.801282052,1192.7296846340864,13882655.53184836,-0.08588341460971272,0.662664344688095,127041187.98537016,2758.488718626282,127041193.857207,-0.05278248506366645,0.7043113718176661
61,35764920.00907895,1137.7314767378255,35764918.94245958,0.012064871223504525,0.5522004968757324,13766431.358974358,1183.6084692539314,13766431.447386824,-0.076792516589125,0.6614307022616325,126904301.08462605,2744.166183769966,126904299.9294981,-0.05164805358496438,0.7014709546421887
62,35706671.16328947,1118.3146511414334,35706671.84322956,0.013673832104172168,0.5348139864016604,14016397.961538462,1191.8153856809322,14016397.866306605,-0.09634456755600751,0.668924374419763,127363745.84184639,2767.568174821399,127363747.07026595,-0.05545546351183139,0.7211991990471853
63,35627344.425789475,1104.6402163257096,35627343.34037316,0.015865125052750506,0.5273541242065047,13909913.826923076,1182.7870959104637,13909913.716264687,-0.08801551464649293,0.665475424178995,126958894.22045656,2744.849226629378,126958896.25547105,-0.0521004899482258,0.7130089251112258
64,35365204.45539474,1097.7813306421983,35365203.99765699,0.02310620578105671,0.5214041815357051,14357576.91025641,1196.4389873131727,14357577.04162199,-0.12303116271320014,0.679287917216993,127466924.31529827,2768.1407012766254,127466920.619311,-0.05631045630636211,0.7317458730436954
65,35300169.38592105,1069.570826026013,35300168.81436937,0.024902674054328333,0.49870730444772776,14527631.211538462,1179.5861453887744,14527630.840677604,-0.1363325515982181,0.6625002104578342,127994872.75368899,2776.010403626743,127994877.61112434,-0.06068560311482751,0.7411860900993016
66,35180731.06013158,1053.8520905175963,35180731.326295614,0.0282018983682637,0.4850465772136381,14295607.038461538,1159.8543452391257,14295606.85715805,-0.11818393479233702,0.6441951672582804,127282524.61748013,2731.7666039026044,127282532.1062429,-0.05478244014789291,0.7062710924900375
67,34924908.444078945,1047.522601688418,34924908.823549934,0.03526848888956746,0.48487457823334634,15323299.666666666,1212.5068662029046,15323299.4632653,-0.19856872527631708,0.6912635586732973,128415657.0926977,2786.7446570875727,128415649.8056688,-0.0641725161638036,0.7609260401785827
68,35047727.78960526,1023.4252008021505,35047728.55019028,0.03187583692662199,0.4657801326024137,14462689.08974359,1155.355908008722,14462688.913267327,-0.13125287777602868,0.6491700077836322,127428984.48707277,2729.780277802103,127428980.62713651,-0.05599604994703866,0.7199409056117462
69,34973658.465,1004.7255207659069,34973658.75990845,0.03392186834411948,0.44884140633817426,15170924.403846154,1162.3027360806097,15170924.314758016,-0.18665013764132432,0.6496364422051542,128285017.8569807,2760.515350892183,128285006.05569519,-0.06308987951989864,0.7459207799331543
70,35081216.57723684,984.4554548775523,35081216.49529586,0.030950798695343673,0.4355111028200538,14043990.41025641,1102.4303641991737,14043990.28355184,-0.09850281085368606,0.6068461080276559,126735594.55492496,2669.243775122252,126735600.12572493,-0.05025004878625561,0.6821614871420294
71,34664442.82263158,963.2338965699547,34664442.69406775,0.04246335041255589,0.41915606177578824,14941247.275641026,1123.1852964682457,14941247.971451472,-0.16868515022572317,0.623323426668806,127185855.78181359,2696.672711914463,127185861.84268776,-0.053981339676405504,0.711146844822528
72,34458198.642631575,954.8312185126857,34458199.0970499,0.048160421749609994,0.4146834079789456,15572459.051282052,1145.2671297207858,15572459.01007316,-0.2180576637470324,0.6439192981517579,127683488.53474587,2713.752099851083,127683499.56477728,-0.05810523257929878,0.7257282567509217
73,34483319.57644737,936.1504513840299,34483318.964963526,0.04746653509542731,0.3993906277575683,15387775.448717948,1123.0013732161278,15387775.250877209,-0.20361193824454582,0.6263148520908514,127359198.72165468,2684.4759755879695,127359201.70695265,-0.05541779636829158,0.7081181171619151
74,34479393.19453947,934.0138260645615,34479393.32523811,0.04757497312639014,0.3969086168453402,14927965.692307692,1095.8062373919365,14927965.667070221,-0.1676462255039859,0.6042422477928472,126566113.91726573,2643.1005374034276,126566105.87755832,-0.048845460476188096,0.6785024532074836
75,34254680.3525,907.0240863408541,34254681.05050145,0.053782205147152706,0.3792386366879395,14995008.942307692,1078.5386133346801,14995008.414667074,-0.17289022277225174,0.5897964191786227,126149172.41266237,2613.665549043599,126149184.35589209,-0.0453904577142521,0.664469451307054
76,33614283.923026316,907.9985901290491,33614284.48704329,0.07147189325761483,0.38303719926486224,16719428.352564102,1159.2252745811757,16719428.865199475,-0.30777216684636444,0.6609707330021878,128018504.5165847,2701.4240923566526,128018504.4478364,-0.06088139724358754,0.7414631455943262
77,34136557.35078947,882.5593365076968,34136558.225815065,0.05704511448593064,0.3619802392474378,15135162.23076923,1074.3147595570638,15135162.611415057,-0.18385290331902726,0.5904352679044916,126911521.46273175,2645.049117235657,126911519.69572672,-0.05170788333940046,0.6946584640256479
78,34342677.2930921,863.4236417825598,34342676.39250388,0.051351507913565686,0.3447977059981409,14385124.33974359,1007.182158155319,14385124.101528607,-0.12518585821833828,0.5298762584749634,126112972.32311767,2588.0045622874813,126112964.70494224,-0.04509030771583533,0.6519929596325221
79,32031481.95907895,872.5808997972388,32031482.766740713,0.11519365937962256,0.3616423237173764,22828133.032051284,1242.4694099487403,22828133.509707928,-0.7855871672260415,0.7241651515108184,129564227.49426158,2724.064473077469,129564212.18520895,-0.07369058128480699,0.7669273679015443
80,33916402.06368421,841.5344349329096,33916401.61040337,0.06312650543071885,0.3301121443468332,17400983.096153848,1083.0826581594272,17400982.699738216,-0.3610824289494201,0.5970249039662594,126996724.62933534,2624.6441141725836,126996729.25979204,-0.05241400970585075,0.6955333390224677
81,34139692.91638158,833.4684888654006,34139691.1680766,0.0569585731541421,0.32750076242599185,14176344.253205128,989.8755859839611,14176344.32069847,-0.10885537297441661,0.5265637011769425,125535016.78799345,2548.62558008416,125535025.93203004,-0.04030096499094671,0.6416681514840646
82,33001000.620789472,816.1992395200227,33001000.79472701,0.08841264194265408,0.3207546679211961,18229053.974358976,1107.2669898302127,18229053.373475045,-0.4258530492873427,0.6322255930483761,126882442.45125489,2627.7031417040344,126882442.93258642,-0.05146692600873437,0.7196377338956038
83,32221305.12105263,794.6142919354689,32221304.004539557,0.10995022322613868,0.3042906630871586,22968569.147435896,1163.9766920468746,22968568.272560377,-0.7965717932917304,0.6739828049791958,129648979.19233194,2710.690489175416,129648975.90618208,-0.0743930129772361,0.7959144272132839
84,32731184.90651316,785.8404867478421,32731185.75233736,0.09586574868890196,0.29500862506446307,20937157.775641024,1131.7034622950432,20937157.156145178,-0.6376774351836192,0.6489848666100575,130697115.77449867,2740.3035591463226,130697111.75812508,-0.08307884969987556,0.8161075873101589
