global_round,train_loss,train_mae,train_mape,train_r2,train_mse,dev_loss,dev_mae,dev_mape,dev_r2,dev_mse,test_loss,test_mae,test_mape,test_r2,test_mse
32,99056959.38285714,4489.377005564426,7.638458351169368,0.3309245863104353,99056959.30356635,121854999.15789473,4679.157804283558,3.1108184556769447,0.21222542092727636,121855002.06481446,120097402.45856981,3199.8343829009314,1.8716197554667722,0.00476035908590966,120097393.28831811
33,96182272.57142857,4455.410284134602,8.163583792725088,0.3503415147524408,96182273.0557581,120232273.26315789,4657.279018610618,3.3344644367725897,0.22271612742133307,120232272.54871435,120189850.27468786,3308.264219644166,2.001314906038683,0.003994163559689179,120189851.50809294
34,94759750.49142857,4436.883013036873,7.92619093672294,0.3599498689866423,94759751.2669166,118356578.10526316,4637.090288558975,3.394960007923546,0.23484221166767072,118356578.58735947,120624779.77575988,3372.896326879818,2.0711009203578232,0.00038996212217723425,120624777.10765369
35,91375742.19428572,4412.76713682271,8.444206303061403,0.3828069944247431,91375742.08350791,116023896.0,4631.519875584367,3.5538946473182045,0.2499226838509433,116023892.28616644,120783116.92167991,3470.593074910682,2.1910595453855324,-0.000922222123494354,120783120.78784958
36,89449375.93142857,4399.024286455027,8.53407442677739,0.39581853774170117,89449376.39968005,114675775.57894737,4623.899711014311,3.680638025628148,0.2586380500989893,114675776.97454856,121404729.6864674,3617.5982534384752,2.337827016821976,-0.006073548096053427,121404740.74333541
37,88788295.52,4391.476158986374,8.599075812469781,0.4002837767389459,88788295.46832184,114041925.4736842,4619.586171408919,3.6917625062104795,0.26273580905318783,114041925.05917865,121485135.82772103,3627.3175105945147,2.3479564364032237,-0.006739721001969956,121485129.05002142
38,86529586.28571428,4397.566712793224,8.795000282956702,0.41554011837994165,86529586.23744492,110308413.26315789,4621.973798257642,3.8852287431310963,0.2868724075301876,110308413.80432908,121869350.94816497,3744.284373146391,2.490414406767918,-0.009923808450035043,121869358.72375453
39,84873862.19428572,4396.027150518836,9.006266356846481,0.426723624594047,84873862.38740398,110554893.05263157,4637.278842507127,3.974442970141255,0.28527896254305807,110554891.9814053,122219354.39223105,3816.291435458197,2.5572794003517965,-0.012824181805475288,122219352.09744222
40,81698979.33714285,4373.606983440545,8.94888579364298,0.448168217834488,81698979.3227492,109355374.94736843,4638.732363281968,4.060608020213232,0.29303367673217806,109355372.8059585,123064184.11552529,3888.334514747338,2.6291735372965475,-0.019825243490849687,123064183.05483046
41,83089285.89714286,4394.993815805853,9.39974787106701,0.4387774581642653,83089286.12441927,109697570.10526316,4650.403899426425,4.185462607318225,0.2908214151848657,109697571.12331595,123191199.5114138,3954.6815614309417,2.6968148602821476,-0.020877731021098134,123191188.65594903
42,80034123.13142857,4381.893794241915,9.485170640053989,0.45941340795753416,80034123.13824697,107702346.10526316,4658.315421589013,4.2676437910984655,0.3037202327837838,107702348.77557282,123489139.12775886,4021.7034888246467,2.771259415178724,-0.023346791763677377,123489134.74537721
43,79977295.88571429,4390.927918450093,9.80005815612734,0.4597972477338478,79977295.46183945,108679607.78947368,4674.751335578431,4.285387436682211,0.297402406416998,108679606.4396574,123947779.60953462,4068.903722256215,2.81598702175299,-0.02714754739038505,123947778.89953718
44,79638230.76571429,4400.727379378874,9.78592283861274,0.4620874452859426,79638230.53571403,108540011.78947368,4683.319166718247,4.35136614879153,0.29830488161080404,108540009.2509107,124267807.43145415,4124.607939007274,2.8719713609197983,-0.029799609805409633,124267808.13650551
45,78908705.55428572,4408.114494830141,9.855907857636762,0.4670149856856165,78908705.64382547,108478402.94736843,4706.235213714112,4.41272761694443,0.2987031637491442,108478401.94333935,124014376.73905915,4145.18033355355,2.895550884160554,-0.02769940951339711,124014373.11434098
46,77256725.14285715,4390.694138417526,9.846923954205751,0.478173209664003,77256724.84179296,107314668.21052632,4696.2238469703225,4.419063768147785,0.30622653404336,107314667.63775268,124312202.07844621,4156.813388870168,2.9023326718230966,-0.030167439487033265,124312194.81898984
47,77385818.21714285,4401.590618838864,10.29626229443837,0.47730125294912706,77385818.4821401,107451100.0,4704.053234183377,4.5016844962848515,0.30534451356338166,107451100.83865067,124689869.85294488,4210.65859761733,2.9495815098203018,-0.03329715478848505,124689863.30604255
48,75869244.29714286,4377.072568713198,10.150306066262804,0.4875448778160022,75869244.5492204,107295866.73684211,4691.462302792916,4.505922655532458,0.306348087490687,107295865.43726476,125213907.63828982,4210.526201009299,2.9461838788151855,-0.03763984110642227,125213903.23091342
