global_round,train_loss,train_r2,train_mape,train_mse,train_mae,dev_loss,dev_r2,dev_mape,dev_mse,dev_mae,test_loss,test_r2,test_mape,test_mse,test_mae
38,923992.808582621,-7.466390268630493,0.7713352980386257,923992.8135979038,923.1524385465176,934123.8044871795,-6.902265970046581,0.7704382608372768,934123.8089303804,920.1392680162038,129929611.85471055,-0.07671865024389679,0.8061614422789978,129929614.82165332,3047.1895850291394
39,898127.3406339032,-7.229389283871422,0.7596724146769781,898127.3384916598,909.2825552490023,908857.9759615385,-6.688528485316589,0.7587986555488192,908857.9833932527,906.3674019223605,129844419.81334342,-0.07601268707548936,0.7968270655996891,129844424.95099519,3033.8797436513432
40,869318.7932692308,-6.965421458817153,0.7463776273192708,869318.7948700738,893.7691958589091,880658.9166666666,-6.449977084356643,0.7453400547037049,880658.9144002522,890.7607202881421,129751460.67196368,-0.07524225425986808,0.784931212589824,129751455.40973485,3017.571027675152
41,847637.469017094,-6.766759152074811,0.7354407462223994,847637.4716687517,881.4846415360089,859717.155448718,-6.272819185084672,0.7344790720454124,859717.1475352397,878.5942860092872,129676243.69176441,-0.07461892940965331,0.7764136255798538,129676237.65653737,3006.3847048708103
42,818153.1538461539,-6.496599320065044,0.7216164777654935,818153.1536324393,864.6845126043357,830337.8205128205,-6.024283243584498,0.7205611069295852,830337.8098604192,861.7396834584383,129581158.04868205,-0.0738310088341314,0.7653769690536425,129581157.8352076,2990.2984982087733
43,789502.9677706553,-6.234082497149593,0.7081715779931155,789502.9674106711,848.8639448173026,802987.530448718,-5.792912260198889,0.7070451219803316,802987.5352562276,845.9760287006696,129480407.74902257,-0.07299610056032013,0.7540173093535908,129480407.92212388,2973.951862209636
44,763360.8073361823,-5.994546253207571,0.6951701993792906,763360.80280733,833.6598608412294,777370.2467948718,-5.576201611528717,0.6938966039217421,777370.2531577914,830.6754442392252,129393424.91159037,-0.07227526762449354,0.743501663581895,129393423.68935192,2959.4313443978085
45,739141.7186609687,-5.772630892016012,0.6826572659581781,739141.7209481196,819.2331581735543,754051.1474358974,-5.378932511792747,0.6813978011767191,754051.1490516884,816.3297485938439,129310547.46651532,-0.07158840555644752,0.7338545504469731,129310538.7835164,2946.057229600017
46,711304.2580128205,-5.517560913388164,0.6688066619211244,711304.2577862866,802.5414860425172,727330.9967948718,-5.152892063307289,0.6676422553173091,727330.9949197056,799.8652098239996,129214027.5167108,-0.07078861214872267,0.7227202969172792,129214026.24574336,2929.587908245062
47,683186.3564814815,-5.259921328020148,0.6541655022589753,683186.3565526954,785.4703101401994,700684.0961538461,-4.927471253040815,0.6529948242035527,700684.0879823212,782.9159563626998,129112420.27645352,-0.06994662330484847,0.7111054848200492,129112421.90728046,2913.345583710398
48,658413.5633903134,-5.032932378404273,0.6412388308016762,658413.560643639,770.2166401891627,677099.9519230769,-4.727960040468814,0.6401513422714775,677099.9445836425,767.8771884899872,129024685.80350612,-0.06921957030897596,0.7007121658064056,129024687.08845174,2898.2373287005116
49,634210.5915242166,-4.811164675908863,0.6268962235628941,634210.5937483952,753.1620774860056,651173.0705128205,-4.508630389661751,0.6256099576551654,651173.0712539088,750.4941512101735,128930998.28250726,-0.06844319741725235,0.6895821489910495,128931000.74731076,2882.028712464726
50,607382.0182514245,-4.56533898135324,0.6131170935955877,607382.0200634911,736.8465761214579,627327.1931089744,-4.306905100846372,0.6118849863569208,627327.2027574461,734.5007667480371,128838324.13747005,-0.06767516500321569,0.6789508829492936,128838320.86691329,2866.3891406233065
51,577876.5483440171,-4.29498533082231,0.5954663681562772,577876.5493381324,716.2691848756921,597946.2852564103,-4.058355768773906,0.5942098051424521,597946.2821882457,713.9201619686224,128721592.51280111,-0.06670784171612198,0.6655808166333681,128721592.1912545,2847.3204126741716
52,555754.3317307692,-4.092283168635273,0.5828580705318996,555754.3301610244,701.2533803108411,576908.0528846154,-3.8803818541091646,0.5815801660866091,576908.0544587506,698.9960360129675,128639637.87388068,-0.06602872090194478,0.6565749403643623,128639641.43672504,2833.7702345283383
53,532277.4587784901,-3.877168563593167,0.570208077805135,532277.4595169537,686.2230730443938,555770.094551282,-3.701564304975056,0.5689417921228748,555770.1010243937,684.2364110029661,128552337.48568545,-0.06530527782972761,0.6469253481478595,128552342.2340064,2818.7499936416903
54,506220.7646011396,-3.6384154830743913,0.5545667216748362,506220.76668516954,667.67815418257,531022.1538461539,-3.492207816787663,0.5532915108455824,531022.1513968841,665.8556658640886,128451443.80123597,-0.06446920041900905,0.635718954787262,128451451.23902722,2801.471619364382
55,480464.2708333333,-3.4024130627531433,0.5364438596318464,480464.27147888154,646.7145199663619,504010.9086538461,-3.263704876447181,0.5349916524337209,504010.9070535879,644.5504813072009,128337097.60953462,-0.06352152485463813,0.6228813844741768,128337093.49011417,2782.278792763406
56,459488.8199786325,-3.210218530308693,0.5227937891432082,459488.81899478444,630.4245713154475,483662.2003205128,-3.0915639925561287,0.5213637853997241,483662.19963947835,628.3240776826174,128254522.71030395,-0.06283726132814382,0.6144384012770601,128254522.15505485,2768.6589953773396
57,431301.015758547,-2.951938448158449,0.5065948967775684,431301.01613781723,611.3186745609653,460424.42067307694,-2.8949829339659248,0.5052950604639938,460424.42861153546,609.8407889665701,128146777.32273932,-0.061944428891638204,0.6027962867236671,128146782.42699388,2750.1787109451975
58,408043.6781517094,-2.7388353883844854,0.4906011602263272,408043.67864932015,592.2482876818405,437150.4391025641,-2.6980954566310262,0.489300956377283,437150.4359421031,590.8315678254152,128040589.31971245,-0.061064430229697875,0.5925247896857385,128040591.37405393,2732.4247762329087
59,383080.6800213675,-2.5101036403213115,0.47316376890934597,383080.67969153106,571.9167881738766,414075.6794871795,-2.5028934150281335,0.47189919415149095,414075.67797973525,570.7594867700185,127931180.51608022,-0.06015781927483377,0.5811416956467101,127931188.96690522,2713.9265904257586
60,361641.3408119658,-2.313658596193121,0.4572010981959738,361641.34093178675,553.0107193047504,393442.1842948718,-2.328343358475984,0.4560436978381502,393442.1831956377,552.0772351760131,127831985.36990793,-0.0593356452771403,0.572336316876838,127831975.72228232,2698.2168082676135
61,338344.06931089744,-2.100189633589061,0.43881614747630837,338344.0700626213,531.2616431003282,369979.44591346156,-2.12985920091815,0.4375361197471834,369979.4475735958,530.1931769450506,127721121.86303443,-0.05841695386148671,0.5620848396538074,127721115.54376791,2679.920291880909
62,322243.18674323364,-1.952659935601054,0.42407662576801636,322243.1845130543,514.0749139711048,351611.0104166667,-1.9744705023118847,0.42259722617032536,351611.00951329555,512.6263120908004,127631121.04981713,-0.057671175009458286,0.5542909227624939,127631121.0415233,2665.499312602041
63,299415.2478632479,-1.7434913941871053,0.40981992706519516,299415.246871986,496.97781491075824,335163.68389423075,-1.8353335809658167,0.408540578691499,335163.68776744575,496.4356271548149,127543363.95711944,-0.056944005398123165,0.5471237079017367,127543372.15049277,2651.63874268625
64,280317.7704326923,-1.5685044485055704,0.3922934225181346,280317.7714245969,476.1540690222357,314031.3080929487,-1.6565632002047392,0.39071754267347397,314031.3100882511,475.1012337391193,127437761.60600328,-0.056068836268690525,0.539186012797384,127437763.88610056,2634.9449363975027
65,258128.6022079772,-1.3651888318071332,0.37553167599632903,258128.60192485803,455.94777869634817,295838.50881410256,-1.5026603129774538,0.3740425809588919,295838.50921732734,455.44532426809656,127337188.12561484,-0.05523536524221795,0.5324070733080648,127337187.4082899,2620.0686197654945
66,244993.15531517094,-1.2448309530298056,0.35744195927037054,244993.15558686072,435.5746722574587,277946.97275641025,-1.3513060021387324,0.35588319760623033,277946.9745771859,434.5143821789668,127229515.92760752,-0.05434312643722361,0.5246568498624194,127229519.31483243,2603.4918408027615
