global_round,train_loss,train_r2,train_mse,train_mape,train_mae,dev_loss,dev_r2,dev_mse,dev_mape,dev_mae,test_loss,test_r2,test_mse,test_mape,test_mae
37,149228370.18105263,-0.11329395290496813,149228370.40810373,1.0328284880262335,4893.882514587707,132574141.12820514,-0.14033507501032894,132574142.83392991,1.1940449060085305,5085.808728038913,128047330.72871737,-0.06112023857797366,128047325.8698237,0.8893658430478213,3050.2069584728565
38,148540313.68421054,-0.10816082301967134,148540314.38671136,1.0268954619538757,4874.082832006651,131824176.0,-0.13388423812517836,131824175.39948738,1.2063321306047905,5070.640464766148,127873196.90679783,-0.05967732255661473,127873206.54642136,0.8826935178258898,3034.0584027211653
39,148207830.13894737,-0.10568037805831287,148207830.08774912,1.0190689919898994,4864.557543952018,131444857.64102565,-0.13062152957611062,131444856.37415119,1.2144294927864474,5065.182909983902,127730678.50977425,-0.05849617449301925,127730675.24270934,0.8821041798961329,3029.4397260283654
40,147624309.63368422,-0.10132711941463435,147624309.72309965,1.0249907538478003,4852.771275761014,130868888.0,-0.12566733918850082,130868887.46951365,1.2345905134740416,5060.189132123087,127581553.27985875,-0.05726036664212453,127581548.04218769,0.8801467213872098,3020.068387067939
41,146888317.43157893,-0.09583636852786337,146888317.39599535,1.050579757230636,4843.835861916528,130109638.35897435,-0.11913667861048416,130109639.81744781,1.2819719123676603,5058.033971573632,127387133.35780048,-0.055649197489331614,127387125.30474602,0.8866737992942424,3015.1696777051025
42,146390480.4294737,-0.09212233178358198,146390479.74086505,1.0383104486329948,4828.311005160589,129579241.84615384,-0.11457448010232785,129579243.47174953,1.2864114791336576,5046.984289418357,127230215.06167234,-0.054348801878830066,127230204.18078299,0.8793640582709933,3001.683730432584
43,146050101.62526315,-0.08958299823248783,146050101.88579488,1.0549003368323162,4825.475356348601,129297755.6923077,-0.11215324812174376,129297753.6171775,1.314485439743032,5050.440728974493,127126248.54912347,-0.05348726673054771,127126241.15390843,0.8850530038085531,3000.816372722226
44,145229827.65473685,-0.08346348851538576,145229829.34196508,1.0632083046504193,4809.784941617157,128466354.05128205,-0.10500198822992601,128466355.74902737,1.3388669615712627,5039.956231016415,126910845.7185017,-0.05170226350617568,126910841.54014161,0.8867493805225487,2993.465650010265
45,144624928.23578948,-0.07895072067174902,144624928.01327395,1.0741034318821139,4799.203504093478,127872105.23076923,-0.09989056688038644,127872107.34000416,1.3635875824487447,5035.129331525976,126797875.33812587,-0.050766036824139826,126797865.3488635,0.8858980357944078,2985.7909445157943
46,143935641.7431579,-0.07380840673421485,143935640.94131714,1.0681260202608585,4778.489498729605,127168041.02564102,-0.0938345558452045,127168041.93889846,1.3795063801277698,5022.6873215624155,126504042.77613823,-0.04833113626452201,126504041.4313819,0.8847301274463609,2973.390014796694
47,143539674.61894736,-0.07085436800239919,143539675.09157816,1.0657025977011583,4765.3276196006755,126763692.1025641,-0.09035653381533848,126763690.79731594,1.3850203287078475,5012.283797993839,126434540.00731492,-0.04775515022462251,126434536.13927066,0.8755605310936777,2962.094756851357
48,142968477.70947367,-0.0665930489661879,142968478.51415712,1.0695567206391863,4752.180409532748,126296045.53846154,-0.08633409319752583,126296046.12980267,1.392484480629745,5002.827506837865,126212811.8294867,-0.04591769507355781,126212807.05528404,0.8794139329396135,2958.8336162776573
49,142185207.57894737,-0.06074957993426677,142185207.07098758,1.0795150494691668,4735.420313441846,125451553.64102565,-0.07907019753867028,125451553.34718864,1.4340495237782305,4997.009710019096,126035283.11766931,-0.04444659910298587,126035287.20571256,0.8780116101064106,2948.6985153547976
50,141467591.47789472,-0.055395917823127805,141467590.42492908,1.1179629678062506,4730.390913281233,124891158.56410256,-0.07424996359671843,124891158.07643238,1.481730638870333,4998.231238453374,125870533.09219322,-0.04308132073810955,125870536.56074831,0.8883698040496286,2947.7878155243743
