global_round,train_loss,train_mse,train_mae,train_mape,train_r2,dev_loss,dev_mse,dev_mae,dev_mape,dev_r2,test_loss,test_mse,test_mae,test_mape,test_r2
72,4407320125.56962,4407320127.135857,37142.037774974284,10.38487263733918,0.6579133465797309,5369163183.157895,5369163081.701345,40449.9804121946,11.175699828136898,0.5882554903797143,2422884621.9962163,2422884616.7402463,33119.74383493347,28.10292209189498,-19.078294373566465
73,4230689912.978903,4230689909.750521,36727.34506920018,10.420717674780416,0.6716230019292984,5186328495.157895,5186328522.1775,39849.9762533213,11.174876565225555,0.6022765072322946,2525850278.1465507,2525850301.9667764,33691.034256664614,28.557069518350577,-19.931564613540047
74,4098059738.1940928,4098059761.095675,36785.20454701995,10.668906523946282,0.6819174671342695,5134331634.526316,5134331598.101289,40032.939804190086,11.384242884418347,0.6062639905103661,2576327144.124101,2576327136.40952,34190.53988424612,28.995434300880763,-20.349863006284284
75,3956122403.64557,3956122411.231392,36401.063402641674,10.606310339885919,0.692934337161809,4927668830.315789,4927668794.392308,39420.15506715523,11.284450255175674,0.6221123217074405,2756234234.898726,2756234294.9784956,35046.44595639819,29.678883943340118,-21.840742458282165
76,3788656173.367089,3788656199.4684076,36215.696678377906,10.841682358382863,0.7059327022204867,4832578061.473684,4832578041.493868,39653.66813550497,11.752883363810547,0.6294045374263166,2819710370.1591625,2819710387.309877,35382.02799380636,29.938032552358603,-22.366764893980264
77,3633957852.35443,3633957856.2372737,35605.415959892394,10.720220894364335,0.7179400529458784,4697548826.947369,4697548870.335708,39118.34026347964,11.61464590825388,0.6397595069098162,2927271110.0133686,2927271058.294207,35625.937563059655,30.190582775825472,-23.25811349561004
78,3504894810.734177,3504894826.1372623,35387.78950225955,10.792675824189502,0.7279576461257694,4570546795.789474,4570546860.208397,38856.50761926801,11.72683690216317,0.6494988982423086,3025867329.703115,3025867363.32405,36077.391125782335,30.532036028836355,-24.075174953203735
79,3393136213.3333335,3393136218.6353674,35334.69775180475,11.005952410870574,0.7366321074601851,4494275947.789474,4494276002.657626,38940.73733451492,11.994452553532286,0.6553478743979388,3153939526.546097,3153939447.2919526,36877.39881240935,31.204978009653274,-25.136500360603172
80,3241755144.6413503,3241755160.943704,34830.95690493745,10.958889847148784,0.7483819776586578,4370903861.894737,4370903962.844843,38529.995996287,11.921085014664746,0.6648088945347069,3217514968.5458446,3217515008.9762373,37001.28423769746,31.330405057503416,-25.663347092652383
81,3130220603.4092827,3130220611.998548,34526.22474772518,11.024367057352917,0.7570390480526303,4220082903.5789475,4220082997.6576705,38005.838656789376,11.99404168308662,0.6763748878574078,3358477721.0059276,3358477747.8931227,37425.89640456512,31.72105771883292,-26.831496557188295
