global_round,train_loss,train_mse,train_mae,train_r2,train_mape,dev_loss,dev_mse,dev_mae,dev_r2,dev_mape,test_loss,test_mse,test_mae,test_r2,test_mape
21,157861599.2934473,157861598.82494506,5650.957047959816,-0.22758054330251598,1.0386473678077965,169551115.07692307,169551115.8031704,5979.825228280835,-0.2426372553612044,1.027245400831057,130576689.52831379,130576674.12165728,3237.5317871937655,-0.08208079048485994,0.9560881268526052
22,157608747.57834756,157608747.69948477,5644.395267930126,-0.22561429486541895,1.0369386887572092,169303810.87179488,169303810.01121676,5973.386163331795,-0.24082475540157566,1.0259389272336754,130476387.9967209,130476383.58921465,3229.500073927455,-0.08124968906989705,0.9517912324868547
23,157346744.5925926,157346744.69272938,5636.229494917895,-0.22357687857308584,1.035318104758696,169040958.56410256,169040957.41129827,5965.201917735087,-0.23889831314975085,1.024572367459625,130380615.0150082,130380603.82849506,3219.158342784516,-0.08045596814011335,0.9458755998966513
24,157129989.49287748,157129988.57763103,5632.087385720457,-0.22189131608342905,1.040288147495378,168817528.0,168817525.08220068,5960.880728680617,-0.23726078139495477,1.0299306512654407,130325995.25892293,130325991.63542764,3215.190200849242,-0.08000340028722519,0.94423887794938
25,156765638.56410256,156765638.16709837,5621.5115947972145,-0.2190580147723855,1.0358915364488792,168455782.35897437,168455782.59078994,5950.136577269922,-0.234609576803674,1.0251049289461152,130182033.1933409,130182035.37899067,3201.4007233169586,-0.07881044372887835,0.9360360442346065
26,156459946.64387465,156459946.51899663,5614.784334189291,-0.21668086211301119,1.039307822167458,168146435.2820513,168146436.37172365,5943.032016681651,-0.232342383604762,1.027803578983356,130091737.82772103,130091740.00085719,3192.0886796461195,-0.07806217153704131,0.9314257993312166
27,156132857.1851852,156132857.49674454,5605.282307179316,-0.21413731686430393,1.0352624358404288,167820800.41025642,167820800.8541545,5933.330158400785,-0.2299558064130789,1.0233606926265075,129976356.33749527,129976368.3921352,3180.8429044254312,-0.07710609417938796,0.9247492797756502
28,155859609.96011397,155859609.4254509,5600.403952275001,-0.2120124554774192,1.0413911804927194,167548926.35897437,167548927.07500502,5928.388487488998,-0.2279632480914977,1.029286593985172,129892351.26245429,129892348.64607434,3173.0623632380934,-0.0764098277608607,0.9210709437979937
29,155488891.4871795,155488891.98759153,5590.470499948624,-0.20912964219561703,1.0389143115879198,167186989.53846154,167186988.4948651,5918.605133021913,-0.2253106063692425,1.026364504128441,129765045.03947534,129765041.61475118,3162.2817459203343,-0.07535484229722345,0.9157529219528402
30,155214167.2934473,155214167.50563142,5583.034461930907,-0.20699329978344427,1.0367748056535075,166905503.3846154,166905503.46167487,5910.859366011621,-0.22324760732962057,1.0239568379720079,129679262.36271913,129679257.02032506,3154.0307860614853,-0.07464395068987906,0.9116198426086406
31,154925544.7065527,154925545.43331888,5579.502288752051,-0.20474888541683578,1.0463112729177904,166619097.02564102,166619097.16826114,5907.256628021072,-0.22114854045719157,1.0332981828387373,129578355.37268256,129578354.60761619,3146.6054207302386,-0.07380777866114352,0.9092859774032621
32,154646589.15099716,154646589.56836352,5572.869377578251,-0.20257963846375593,1.0462606326538608,166332990.76923078,166332989.59312135,5900.484986361994,-0.2190516628859318,1.0332154361556098,129494128.68230546,129494130.75661963,3139.145713266463,-0.07310982083768791,0.905714276038679
33,154163203.5099715,154163203.2650188,5561.795753648751,-0.19882067728952535,1.0465486451400117,165858960.2051282,165858958.96387,5889.592246840433,-0.21557750043468693,1.033543576619642,129324842.49665783,129324848.7816568,3122.651061369208,-0.07170699162247951,0.8976088817533006
34,153793954.94017094,153793955.23212594,5553.715503260843,-0.19594929055452437,1.0483913126028774,165480776.6153846,165480776.36401886,5881.592719031295,-0.21280580656715764,1.034978562482582,129196465.7850927,129196470.58877045,3112.8718202524924,-0.07064312950948004,0.8940118774631651
35,153429809.23076922,153429809.106933,5544.179923519335,-0.19311757782936967,1.043508115486477,165120128.0,165120128.78972742,5871.859560163124,-0.21016262660489526,1.0292535955588193,129075112.51885484,129075119.99118905,3099.9469518753513,-0.06963750464240492,0.887491006240273
36,153116968.022792,153116968.11512303,5539.727019727681,-0.1906848296654593,1.04954707350592,164815787.4871795,164815786.03797737,5867.38217210107,-0.20793210373318027,1.0353432851743711,128978160.1084626,128978155.22142114,3093.1658119929966,-0.06883396361621918,0.8859448479812176
37,152721033.73219374,152721034.0509938,5533.993752732058,-0.18760592411038046,1.0588512886036492,164435078.35897437,164435080.20337847,5861.918144697682,-0.20514191712093055,1.0440621283486848,128886090.81195611,128886082.08471507,3089.366711690028,-0.06807095924947837,0.8872047114934399
38,152385971.008547,152385970.60876605,5527.40109136625,-0.18500036730928104,1.063093996559472,164106090.05128205,164106091.88018373,5855.545435499991,-0.2027307672736176,1.0471368056395431,128767027.76920167,128767026.62797774,3080.3647329394507,-0.06708435407206492,0.88402272897872
39,151878667.3048433,151878667.46043772,5514.642057292135,-0.1810554213624549,1.0534369735300848,163593537.43589744,163593540.06265286,5842.927919020595,-0.1989742836860584,1.0375505836212897,128628231.99445075,128628236.48219937,3065.976574848355,-0.06593420875196387,0.8771804980147717
40,151626766.9059829,151626766.17139065,5513.652906389176,-0.17909655914663558,1.0674302399966349,163345632.2051282,163345629.6295281,5842.054881897474,-0.1971573523215302,1.0518472998125827,128510173.2175558,128510169.32312773,3059.3838780303445,-0.06495579353593928,0.8761234064289743
41,151145557.12820512,151145557.29715267,5505.066396775173,-0.1753545303335733,1.073821831945211,162882777.23076922,162882776.39440063,5833.388383787507,-0.193765108802463,1.0596399153276213,128356812.5584563,128356819.83199643,3050.3025098495127,-0.06368499582493903,0.8746236789203884
42,150824256.54700854,150824256.62432587,5497.873823396355,-0.17285599707755583,1.0714388918451125,162575633.43589744,162575633.64459953,5826.550509778747,-0.1915140647924667,1.0562386022866233,128280242.8654307,128280235.9592677,3042.2739410145327,-0.0630503500269961,0.8708951499535992
43,150328587.23646724,150328587.3874461,5487.10027199062,-0.16900152001893987,1.070113475419123,162076509.12820512,162076507.93188334,5816.052626144833,-0.18785598089964317,1.0556507226670844,128108525.88245681,128108523.85838819,3033.8416126015086,-0.06162738250921085,0.8694440385753271
