global_round,train_loss,train_mape,train_mse,train_mae,train_r2,dev_loss,dev_mape,dev_mse,dev_mae,dev_r2,test_loss,test_mape,test_mse,test_mae,test_r2
73,54069595.86,0.6783867959924418,54069595.90467811,2256.8690893075027,0.012350896938920664,35022979.897435896,0.6394899164838589,35022980.706554666,2291.4391835240217,-0.07078978784829482,122986024.01790895,0.6061303655349415,122986016.54758236,2480.021207361297,-0.01917748249891571
74,53696793.035789475,0.6886307678771489,53696792.439671434,2236.183494115754,0.019160620623207336,34936878.23076923,0.6489492743322511,34936878.62096969,2271.573071684593,-0.068157309626943,123092056.1992685,0.5936321525793582,123092058.96485937,2457.6857983707887,-0.02005624942634654
75,53815449.67684211,0.6874323047552228,53815451.034636326,2225.0664152194327,0.01699317230171138,34763536.92307692,0.6427082032555326,34763536.93379817,2261.955378359709,-0.06285757486173726,122813874.23735654,0.5952577883791184,122813866.93420002,2445.555372534762,-0.017750889342186493
76,53327923.88105263,0.698660296817802,53327923.25140818,2207.3258100166445,0.0258984797996904,34582661.666666664,0.6534512445156527,34582662.184742674,2244.111943429861,-0.05732752486996162,122595021.68394502,0.5968352748512399,122595018.2491651,2428.5112735335983,-0.01593730387838055
77,53441780.15578947,0.71001474957355,53441779.56037797,2186.8465317711702,0.023818751265560212,34436824.743589744,0.6559770657643068,34436823.99907322,2221.4276123658206,-0.05286867994178124,122399046.88535754,0.5889386051364806,122399041.03114177,2406.107941805392,-0.014313252841530621
78,53084488.54526316,0.7070777447673646,53084489.97466796,2193.894733528526,0.03034509445261968,34344414.76923077,0.6573494598723019,34344414.71917847,2232.2590428499075,-0.0500433660702182,122265296.67095472,0.6042525515076274,122265292.4653376,2418.889284747563,-0.013204886781626568
79,52993911.98,0.7307042084373779,52993912.06747566,2173.540869081397,0.0319996137309464,34262185.56410257,0.6763941004321621,34262185.579255424,2210.2851622715975,-0.04752929897721736,122162385.36259301,0.5994705106962632,122162382.41158167,2394.893657174834,-0.012352077556195384
80,52916386.49894737,0.7587964647115543,52916385.93689579,2160.8423048523855,0.03341572591099662,34148247.05128205,0.7045662508901214,34148247.611869745,2197.5674002415094,-0.04404576875039301,121888028.5120444,0.6041283556809265,121888027.06732169,2381.6918864563504,-0.010078511853993666
81,52263083.03473684,0.7343967553900499,52263083.44096736,2167.119157861244,0.045349116818315216,34036085.615384616,0.6788761151518731,34036085.96692502,2208.5055068563192,-0.04061654766263434,121895094.26005802,0.6174860100588117,121895093.7880346,2393.737959323998,-0.01013707332974434
82,52451794.88842105,0.7710566166353232,52451793.78024794,2153.7740927127493,0.04190208537281681,34004736.12820513,0.7147768266064972,34004735.67252563,2192.795594875629,-0.03965804628977354,121598178.26661623,0.613319706579038,121598176.5016172,2379.1349339431645,-0.007676538213833517
83,52208984.45473684,0.7758557215579923,52208984.99878135,2148.3425821113274,0.046337292834947585,33808310.179487176,0.7135162625014032,33808309.510801725,2188.1958487186675,-0.033652528661149095,121519954.94614705,0.6264601506899132,121519955.018857,2374.662426066558,-0.007028321643244517
84,51697771.98842105,0.7892050633077923,51697772.17744655,2145.647493992479,0.05567523731218671,33758365.43589743,0.7314561854675617,33758365.420397945,2185.2367297044166,-0.0321255420686648,121615642.50119813,0.628126362388687,121615636.57501669,2373.89629690108,-0.007821228757938226
85,51228345.663157895,0.8334364922914371,51228346.38168637,2135.2080335098817,0.06424988926545139,33538555.102564104,0.7699395207916977,33538555.074975178,2174.8595023216344,-0.025405078293345706,121312435.31466767,0.646071063123406,121312439.11437482,2364.9131116940434,-0.005308650228187384
86,50769889.731578946,0.8345488337297647,50769889.56466706,2131.4029370026838,0.07262417904042229,33460803.948717948,0.7685792712049574,33460803.811905395,2172.1889260090315,-0.023027917446158064,121428497.5996973,0.6539947370891911,121428507.10737398,2365.094550169436,-0.006270498479104658
87,50764383.99368421,0.8412843624922369,50764384.831077226,2132.1581155802073,0.0727247299156717,33442800.64102564,0.7795259587663337,33442800.797744352,2173.765128187644,-0.022477494742972226,121341211.15575735,0.6596657177580391,121341201.7039182,2370.4220746709443,-0.0055470040217637795
88,50574058.898947366,0.8552687910444912,50574059.769784264,2128.0415117031334,0.07620125628748742,33277517.46153846,0.7860877874826312,33277517.953209374,2171.4764152856974,-0.017424150382666204,121285469.94097616,0.675668498274629,121285468.84903216,2368.2728234381407,-0.005085149313970527
89,50502379.60526316,0.8625139923684106,50502379.12162455,2130.739208133597,0.07751059338678046,33225779.53846154,0.8050936458864261,33225779.4890669,2176.9221658095335,-0.01584230275219456,121163038.60537268,0.6776345602700106,121163039.95702219,2372.785199033882,-0.004070588687921095
90,50454245.18105263,0.8936324151210762,50454243.90131517,2128.578474462158,0.07838984366355373,33106852.53846154,0.831810578083421,33106852.4743198,2172.5547528083507,-0.01220623779366159,120874248.67700845,0.691478174305009,120874246.26325455,2366.7196032066695,-0.001677373279876715
91,49578880.72,0.9049146459861712,49578880.188402824,2128.635265096363,0.09437946170017186,33058125.256410256,0.8403645918820148,33058126.29528512,2173.8448710380458,-0.010716487525163298,120858152.90906797,0.7039820528917334,120858152.99292272,2372.4796877170756,-0.0015440093479242023
92,50028306.610526316,0.9137539610663796,50028306.50449431,2128.442376541715,0.08617012537070623,32920028.871794872,0.8452078104818249,32920028.175039914,2168.7692296504974,-0.006494286733100596,120763113.07453652,0.7133621850911909,120763110.39188379,2366.9988112192855,-0.00075639721464138
93,50008559.63263158,0.9466649147486814,50008559.09635747,2127.938785148671,0.08653083659126937,33032008.384615384,0.8740503923885169,33032008.215184525,2166.303419748942,-0.009917955450345017,120818711.152226,0.7146267791214196,120818703.61610895,2362.4294268169924,-0.0012170948118179759
94,48060329.34105263,0.9328947118124965,48060330.06721546,2125.755522517907,0.12211768759311281,32914058.871794872,0.8628002019973059,32914059.054336224,2170.1303127484443,-0.00631178731805937,120682323.86101653,0.7240649155378331,120682315.86177105,2368.788023539849,-8.685796041119076e-05
95,47610355.50736842,0.9403794486733226,47610353.618283965,2127.334320677464,0.13033707279009643,32837362.333333332,0.8721104433186315,32837362.42808933,2172.4675260507142,-0.0039668708520481655,120631416.92622021,0.732936484220486,120631419.95557004,2377.2872403130764,0.00033491325397205784
96,46891559.64210527,0.9673973160196996,46891560.04602089,2127.333814152683,0.14346674049065122,32707171.743589744,0.899575081188167,32707171.464723673,2177.7705779136754,1.3577163217037835e-05,120611179.64484802,0.7591617636373871,120611180.99725042,2386.140678245072,0.0005026322448592468
97,48821457.82,0.9875224317079885,48821458.88009296,2129.774457042029,0.10821471353209577,32766817.692307692,0.919012705286523,32766817.85882171,2172.3932399199557,-0.0018100468800157365,120495788.66111742,0.749223055192913,120495785.34937167,2375.649791481306,0.001458908813511961
98,46272838.336842105,0.9788742888515437,46272837.43391734,2123.228370232974,0.15476848637321672,32784317.153846152,0.9109980916409444,32784316.343215134,2172.1765248225283,-0.002345044130772189,120584218.17404464,0.7501235138373749,120584225.80123436,2375.948444244735,0.0007260082805020662
99,48799388.81684211,1.0621322515533849,48799390.45764271,2139.588924276264,0.10861782099525108,32621323.46153846,0.9854612611264719,32621324.392557964,2178.641112064704,0.002638258624852674,120641012.34909825,0.7863450135789396,120641014.28385173,2383.4282533316314,0.0002554056512470426
100,48638885.29578947,1.0974181708430062,48638884.10632656,2149.6620852440283,0.11154967116465997,32486798.897435896,1.0130052774658151,32486798.48587702,2186.4990080319917,0.006751242847467087,120421328.781183,0.8197217883377059,120421327.29684597,2396.303322626432,0.0020759380714321374
101,45928599.74842105,1.0808157602064146,45928599.68089076,2138.373718158822,0.16105642143779242,32574173.794871796,1.004270169269171,32574173.63645232,2182.3698250819475,0.00407984203976175,120555996.3057132,0.8031914306096507,120555990.29460679,2392.6069087686296,0.000959994170683709
