global_round,train_loss,train_mse,train_mape,train_mae,train_r2,dev_loss,dev_mse,dev_mape,dev_mae,dev_r2,test_loss,test_mse,test_mape,test_mae,test_r2
113,22240441.643874645,22240441.531453375,0.7590963891428995,2038.0239297110174,0.1368037821062733,26768114.153846152,26768114.539596442,0.6879164126514679,2172.742912296755,-0.017743653302716433,121022535.35578257,121022525.89736427,0.7921312995699198,2461.941108446702,-0.002906157400544007
114,21673235.618233617,21673235.721841197,0.7758673250475632,2022.466003356061,0.15881817911957696,26706848.153846152,26706848.266484972,0.6963686829311949,2169.0275940621414,-0.015414263964200536,120953311.73187035,120953300.23520626,0.8150646294887604,2470.7834230245685,-0.0023324886367035447
115,21791799.625356127,21791799.662451543,0.7798816951003157,2021.4773164035864,0.1542164743841432,26647909.897435896,26647908.883909196,0.6915502110008049,2162.1257030893453,-0.013173344737060111,120959231.71572708,120959230.27848782,0.8024194628691648,2457.462531026397,-0.0023816305371606727
116,21342881.45868946,21342881.457214322,0.7909592557792329,2023.554475661996,0.17163989182648065,26596650.371794872,26596650.472200096,0.7147989028312871,2173.9176594501073,-0.011224461743521319,120805095.31441544,120805088.56118777,0.826210308216083,2469.729163137266,-0.001104267697092265
117,21379043.925925925,21379043.928438533,0.8160920218469672,2009.235970717937,0.17023635366622047,26467181.884615384,26467182.151941508,0.7095901399611496,2156.7392904893854,-0.006301979771471178,120711858.33749527,120711864.24822176,0.8279072961772649,2459.4382761025404,-0.00033172360416577895
118,21275163.011396013,21275162.967542473,0.8369103530310312,2002.7494289400984,0.17426818246016906,26447866.5,26447866.771425832,0.7123379530043706,2152.60961615982,-0.005567594617003957,120810604.06608652,120810601.99322025,0.8402358529205837,2469.0618109624284,-0.0011499571659974173
119,21313153.584045585,21313153.562342804,0.8309660060062127,2010.680059164009,0.1727936911511363,26338887.333333332,26338887.542407162,0.7310481687537594,2157.529628517918,-0.0014241231554070755,120574610.78799345,120574605.15127593,0.8533951129841708,2465.267522077961,0.0008057340093278187
120,20962328.264957264,20962328.31072157,0.8458554886131763,2001.5001609739968,0.18640992399043443,26309205.653846152,26309205.302961297,0.7271125502805268,2150.707571127189,-0.0002955823025518889,120725387.2122588,120725382.48657066,0.8533819828997312,2467.403650817602,-0.0004437484059685026
121,21063192.42022792,21063192.32379229,0.8842031210560667,1999.1405255147536,0.1824951890027725,26226041.03846154,26226041.13566732,0.7390525261664763,2144.1132711783434,0.0028663812836561275,120566873.43069744,120566868.01473475,0.8706776676339061,2465.2701144979196,0.0008698511794189567
122,20921064.313390315,20921064.202811807,0.9049660073509018,2002.013834847567,0.1880114669198807,26085720.525641024,26085720.41652915,0.7529871064798532,2144.883234513112,0.008201479544629908,120492290.52036826,120492289.28002734,0.881846165206462,2470.955154424719,0.0014878805230853498
