global_round,train_loss,train_r2,train_mape,train_mse,train_mae,dev_loss,dev_r2,dev_mape,dev_mse,dev_mae,test_loss,test_r2,test_mape,test_mse,test_mae
78,18164447.037142858,0.6766852810831463,0.2815112360779632,18164447.07934604,2045.3316532046454,31299947.10526316,0.48201479194385877,0.2976956085474547,31299946.768359587,2282.92004335554,129226236.3233699,-0.0708897491542837,3.5358675494291725,129226230.63374555,4824.253982703673
79,18517317.182857145,0.6704044330656493,0.280367716396569,18517317.285222992,2052.375199527059,31224588.36842105,0.48326190549396475,0.296663565308474,31224588.269457843,2283.4259391207443,128018210.19800732,-0.06087893899797603,3.5152811122535703,128018207.80682866,4803.770008939198
80,18248592.85714286,0.675187547397127,0.28171299064502286,18248592.65851977,2049.8652054180416,31406198.63157895,0.4802564014578973,0.2981664285729993,31406199.857738577,2288.198840053458,128369992.0751671,-0.06379416348404665,3.5376952993239317,128369993.29369473,4829.986988527084
81,18393897.41142857,0.6726012234957213,0.28194378634745665,18393897.344290096,2051.8685483789445,31276837.36842105,0.48239724497947833,0.29797951685928664,31276836.533800546,2286.097781996978,128349496.3854206,-0.06362435870283978,3.53117128841757,128349502.63923073,4813.512322404554
82,18431637.64285714,0.6719294759773374,0.2834049130692919,18431637.42086082,2054.6221352897373,31557697.36842105,0.47774925853137795,0.29962714667896556,31557697.311565902,2291.5774903924844,128261295.32551393,-0.06289330871035204,3.527547029101088,128261285.49548775,4801.541477118213
83,18054885.96857143,0.6786353910278222,0.28954588536275094,18054886.12583411,2060.0432279280253,31410454.94736842,0.4801859787938555,0.3055408887722497,31410455.241099935,2299.1857146087445,128467943.29827216,-0.06460595201072916,3.567242567572732,128467953.30447805,4837.2046468068165
84,18409163.617142856,0.6723294926399705,0.288661436513679,18409163.710033182,2065.894024180685,31585489.157894738,0.4772893268680477,0.3049181160716978,31585489.295497924,2300.8774923399874,128408568.27140875,-0.06411385500585287,3.556967271371355,128408571.05612192,4833.696798158362
85,18298058.92857143,0.6743070819850231,0.28102670434094834,18298058.910588145,2049.13093408244,31695253.52631579,0.4754728357305015,0.29709048619790385,31695253.194208,2285.16554843752,129110816.94034557,-0.06993336930294936,3.53806792512964,129110822.52255613,4817.989510851679
86,18174967.46,0.6764980281993997,0.28519343380206447,18174967.309011627,2054.862216455596,32034929.89473684,0.46985150014667576,0.3007766198603436,32034929.891156767,2293.221586741899,128779940.34254004,-0.06719142260828015,3.5746172377334537,128779946.78466566,4851.651184197497
87,17894221.954285715,0.6814951064738533,0.2844793009501293,17894221.773603436,2044.776999126843,31694876.52631579,0.47547906078589053,0.30104106217265214,31694877.03693695,2292.96060302383,128390385.35351242,-0.06396313244497476,3.5493454779412,128390383.08819233,4820.156691663908
