global_round,train_loss,train_mape,train_r2,train_mse,train_mae,dev_loss,dev_mape,dev_r2,dev_mse,dev_mae,test_loss,test_mape,test_r2,test_mse,test_mae
39,16283264895.268572,1.291286033370494,-0.009445380738130948,16283264933.709372,54430.26088639532,16281900517.052631,1.3468202623843464,-0.013847839858305955,16281900555.578558,54703.63021375004,208680388.6452264,5.782734284147419,-0.7293213480241625,208680379.59660608,7075.549693840451
40,16131820678.582857,1.344322056260949,-5.692561458503498e-05,16131820680.24897,54244.26866215433,16136052628.210526,1.3979831418459134,-0.004766129955457998,16136052735.32434,54521.35768439895,218129333.11539918,6.059545340369,-0.8076242962844262,218129340.01402926,7368.93330727196
41,15997729557.942858,1.4278342326842512,0.008255761467672706,15997729536.087757,54092.53983742442,15993972843.789474,1.494519019199961,0.004080971003161071,15993972619.99507,54367.21368409458,226944417.40850043,6.356802252453419,-0.8806742092790101,226944407.0289747,7683.098910422776
42,15830396600.32,1.495391493218202,0.0186291987629551,15830396631.330898,53883.675076415195,15836404843.789474,1.5565561035057798,0.013892464185877862,15836404837.116468,54161.83349329547,239135019.39311388,6.707389221584027,-0.9816971360095923,239135028.92940098,8059.873367961952
43,15665142743.04,1.5356949559245014,0.028873750259651665,15665142770.814186,53643.212722496304,15674460914.526316,1.6045015380109529,0.02397645422746697,15674460887.930223,53929.5669681273,250776888.96758735,7.008999673768712,-1.078172517567535,250776890.21113518,8394.953678496264
44,15526198892.251429,1.630202500753253,0.03748727751976055,15526198803.100428,53524.76860522815,15534774487.578947,1.6928420187322486,0.03267449426759972,15534774618.063856,53800.00571729008,262126173.82469416,7.340780720685656,-1.1722232716203473,262126167.24371922,8750.190645161847
45,15346757140.48,1.71112044215238,0.04861137210561939,15346757118.839384,53305.302901465555,15356548796.631578,1.7787855387485485,0.043772320795847586,15356548950.648865,53582.69017767906,276198954.88661873,7.632713310932069,-1.28884357645468,276198953.3741316,9077.784976246709
46,15188944784.822857,1.7597685499496285,0.05839459974952921,15188944828.375399,53061.68144962992,15202827371.789474,1.8328540894145435,0.05334432460577254,15202827249.991497,53347.84357729711,290429208.98776644,7.991879718265473,-1.4067688588481055,290429213.54064935,9470.952043440711
47,15034913241.965714,1.8582774596429,0.06794345173929572,15034913228.717724,52924.13787490981,15049121091.368422,1.9442819019045847,0.06291536373600559,15049121041.61827,53218.02486225178,304945262.3352251,8.338085955049316,-1.527062502937341,304945268.257884,9854.75566520792
48,14879147552.182858,1.9079846126576905,0.07759980356179985,14879147559.748127,52682.171347526826,14894915098.947369,1.9872144761524464,0.07251752952250912,14894914954.36569,52967.16666960716,321372935.2200782,8.70489449973774,-1.6631974910384497,321372927.0188061,10255.28770197564
49,14707514713.234285,1.9812766491465437,0.08823980564989808,14707514724.330091,52478.82262015888,14725446009.263159,2.0555507997926417,0.08307009017933964,14725445990.220896,52757.56396124238,337072383.74574345,8.985119724859754,-1.7932979356201626,337072386.3425568,10572.113639901785
50,14542850574.62857,2.06327160770001,0.09844779237116108,14542850686.63786,52263.35764185905,14559106694.736841,2.155954503138618,0.09342776215599724,14559106842.982775,52553.85212016106,355365204.1306596,9.394307656822209,-1.9448893700929712,355365202.8428119,11027.592488129512
51,14355046095.725714,2.096958432537953,0.11009032847084943,14355046072.907421,51953.75982278687,14383200094.31579,2.1878569411300908,0.10438119590082695,14383200053.064121,52256.99175057913,376878789.35956615,9.743224673407932,-2.123171236452894,376878802.72387934,11428.95230479342
52,14209334944.914286,2.192337451221605,0.11912336733136764,14209335004.503942,51816.53217944145,14242025957.052631,2.293014678128987,0.11317189335081934,14242025750.50314,52130.30725671116,393676650.93303066,10.082619772223175,-2.262374040399567,393676660.4509545,11814.461882224765
53,14023002989.714285,2.2748327150941234,0.13067461016790405,14023003033.492893,51611.774869255336,14066702821.052631,2.3576287406736163,0.12408897911391958,14066702691.397581,51920.56764282678,416757320.2976416,10.482415784383665,-2.4536419530959774,416757310.36702764,12273.303691847175
54,13844641130.788572,2.3698799697212096,0.14173176799875054,13844641099.495178,51437.83330261367,13881835573.894737,2.4713228822758024,0.13560036065492387,13881835532.698353,51752.190666913986,438715563.4092572,10.858925054042066,-2.635608706566576,438715572.3358587,12702.389338866325
