global_round,train_loss,train_mape,train_r2,train_mae,train_mse,dev_loss,dev_mape,dev_r2,dev_mae,dev_mse,test_loss,test_mape,test_r2,test_mae,test_mse
76,118951239.71428572,0.7271518352795199,0.053668411140990635,2423.8104454718887,118951237.4770991,171382296.63157895,0.6165460950344531,-0.015908282923695838,2350.5054715307137,171382294.37017813,123223378.94160676,0.6010415234646673,-0.02114450212603991,2344.75579919429,123223380.41458789
77,116144391.88095239,0.7273403680047814,0.07599864379839816,2418.2836771919615,116144389.6036674,171255738.10526314,0.6189439522135829,-0.01515820813467661,2348.1047228261045,171255757.81126618,123127419.85092698,0.604060246079129,-0.020349274484206648,2342.579614491823,123127418.83616114
78,119448792.71428572,0.7552576399426455,0.04971006407857126,2428.81950439016,119448790.64660318,171299396.52631578,0.6429596391291353,-0.01541689777013544,2355.2597168307557,171299398.38788116,123114237.22184387,0.6284361554542518,-0.020239985588653697,2350.9464359560084,123114230.74463856
79,119587552.8095238,0.771764688323516,0.04860612368978545,2427.278654365845,119587552.87000665,171150781.89473686,0.6552185896961081,-0.01453595689425402,2355.0324453178205,171150784.90470475,122999430.08374321,0.6404803437863728,-0.019288632894412627,2350.8939328294096,122999429.26971819
80,118773265.0,0.7860091201896441,0.055084273874384526,2427.7301493883133,118773267.4862231,171015358.52631578,0.6692911924219964,-0.013733153019134026,2357.314536835018,171015353.023343,122895897.06318577,0.6543786952003837,-0.018430680349925233,2353.075208183074,122895898.56221604
81,117283875.26190476,0.8017040381189917,0.06693334669112194,2427.3430746680215,117283872.12935188,170968704.10526314,0.6824713364641257,-0.013456691239800644,2360.3041676863245,170968714.31112438,122800710.31201917,0.6673320145677272,-0.01764183659762475,2356.3273172329227,122800707.33945078
82,115904846.14285715,0.8054055849938467,0.07790436178209637,2421.103654886995,115904846.17606547,170835822.7368421,0.6846378377368973,-0.012668902684867867,2357.7303283026345,170835815.4930988,122637323.3671333,0.6689240733765586,-0.01628792882369967,2353.4401668876217,122637328.80455656
83,118981820.09523809,0.8320172082803134,0.053425087749411015,2434.7719817658267,118981822.54778285,170775322.63157895,0.7125214138592068,-0.012310289280690556,2366.364485389308,170775317.9176455,122541192.60209358,0.6981646907630907,-0.015491265611452087,2362.909702208172,122541193.99321428
84,117948894.38095239,0.8424333447879132,0.06164267732622708,2430.156979997953,117948894.49090615,170512061.15789473,0.7186904891782425,-0.010749750947856018,2362.9554881924078,170512057.30206698,122337051.82519864,0.7043119031331796,-0.013799531913479601,2358.9480024345708,122337049.38430592
85,117874016.09523809,0.8596166525974682,0.06223840209446896,2435.4774090658343,117874013.55148451,170516046.0,0.7331076737657224,-0.010773395523200557,2367.356792079775,170516046.10857648,122303108.35792659,0.7187437272433378,-0.013518262736150088,2364.3063073140825,122303108.11667456
86,117368862.02380952,0.8803893068967655,0.06625716453749575,2445.6723521465346,117368866.33738708,170581991.36842105,0.7546928284180785,-0.011164347168073574,2377.7118530046,170581999.0996214,122309948.7499054,0.7400654451710659,-0.013574973813577973,2375.3802241328867,122309951.5464272
87,118338795.23809524,0.9053505131962098,0.05854079898220477,2454.6736903240285,118338791.93475005,170512274.84210527,0.7777944772993631,-0.010751142205867481,2385.704824990348,170512292.00533113,122257396.20002523,0.7628053908003314,-0.013139366294151245,2384.405585025475,122257385.98791319
88,114759170.33333333,0.9141799797520714,0.08701897480824639,2446.760540090856,114759164.77712514,170308676.9473684,0.7816290658654742,-0.009544284914375423,2383.2829705727727,170308696.88255286,121994446.23634759,0.7661605584076348,-0.010960403113517314,2380.8879352771164,121994446.50348407
89,115830244.83333333,0.9390771001224959,0.07849785280445665,2460.046585514077,115830246.01226199,170300049.2631579,0.8064836208614029,-0.009493049135678833,2395.4534127461284,170300053.47895586,121979605.2664901,0.7918223140864404,-0.010837324695897266,2393.976461638808,121979594.40503608
90,113202278.02380952,0.9438722531756855,0.09940498897925232,2453.229829432709,113202277.39177807,170121806.42105263,0.8092830672064084,-0.008436425347812193,2391.3809395965777,170121802.53633183,121873778.65632488,0.7942001865564247,-0.009960436986467869,2390.3330043254364,121873778.75644283
91,114974959.3095238,0.9657286292967633,0.08530220345099626,2461.406697437167,114974958.14153807,169959841.68421054,0.8268040298538059,-0.007476383368171691,2396.9349492725573,169959844.808525,121644676.03127758,0.8129449304440698,-0.008061803409538548,2396.692825407831,121644667.15957208
92,116397922.52380952,0.9912701936766847,0.07398165496855569,2475.558144787947,116397919.46583392,169944031.57894737,0.8516125066468324,-0.007382685842066028,2409.3780880664526,169944038.1680332,121659357.85773742,0.8376814186238892,-0.00818359244923994,2409.547120768691,121659363.66642122
