global_round,train_loss,train_mse,train_r2,train_mae,train_mape,dev_loss,dev_mse,dev_r2,dev_mae,dev_mape,test_loss,test_mse,test_r2,test_mae,test_mape
30,71995495.10548523,71995497.1410554,0.10779004481844057,2500.622932922272,0.7209862576472759,65652612.0,65652613.68895955,-0.06876549475567217,4163.740652468398,0.9535710970069846,135945956.10997602,135945950.22170997,-0.12657564812890865,4673.66245934581,3.230338903009256
31,64114622.97890295,64114622.93230877,0.20545440861609954,2510.2300607840048,0.7411756518199677,61321713.2631579,61321713.425636984,0.001737665782562292,4003.4066965603024,0.9426784026172836,134811390.92899483,134811392.63361627,-0.11717363984501583,4683.941789537108,3.273660659803934
32,81837997.58227848,81837992.3576898,-0.014183864173437088,2492.5275902222165,0.7363682656132307,67451878.10526316,67451877.24019155,-0.09805588688901223,4240.641451902884,0.9812142118533487,137256161.80501956,137256161.86386696,-0.13743329065185117,4770.299364658875,3.3113766916452305
33,67063407.51898734,67063408.4085155,0.16891134881318104,2506.323797284197,0.7628234670371827,59247240.315789476,59247240.05438993,0.03550822622791394,3954.8241235280507,0.9446628001412062,135301616.26485056,135301613.38793492,-0.12123606879653726,4759.679114970663,3.3530551023825756
34,66656774.51898734,66656774.89823845,0.1739505871042757,2501.958808588658,0.7669287503639102,59609973.368421055,59609974.70771645,0.029603232360278398,3961.833693689765,0.9400541132814265,134986711.61306596,134986724.2715506,-0.11862660224162425,4741.260254935098,3.33740101985776
35,68160534.11392406,68160536.81116371,0.15531509735543558,2495.5355935503694,0.7697527169959816,59788891.78947368,59788892.81213909,0.026690606561403984,3977.1425777926647,0.9404734114570091,135504173.45491233,135504180.45275146,-0.12291472948457605,4766.423035631867,3.3555746041171166
36,74558333.84388186,74558337.72367074,0.07602983797004903,2511.322924106889,0.7822054056922275,60620998.10526316,60620997.013535574,0.013144698660354948,3981.0203020985387,0.9460240155827006,135278231.35679153,135278233.2102881,-0.12104231871613491,4772.257441046921,3.3727620969492356
37,57335171.75949367,57335172.19973389,0.2894692939139324,2522.1579010531873,0.8028837635083239,57858940.21052632,57858941.10184965,0.058108484367065505,3869.5409633564323,0.9341038368393995,134207687.99243285,134207685.17182839,-0.11217075359548212,4778.516753969494,3.4049080549509654
38,59898428.31223629,59898429.62373785,0.25770392132530096,2514.5859673521186,0.7931015880371444,57702370.0,57702369.32166046,0.06065733210847435,3933.9654707461596,0.950134694142362,135956041.94223735,135956031.8125652,-0.12665919364632505,4865.129614093082,3.4741679981365743
39,80253180.56962025,80253184.3162151,0.005455996204014157,2512.993486269743,0.792189727452661,69779611.78947368,69779613.05300616,-0.13594933206744342,4154.673081672506,0.9728711220840435,137322803.14087528,137322807.93728736,-0.13798558252399884,4880.228982691357,3.4853706741346127
40,81214825.90295358,81214821.66334292,-0.00646117151413983,2525.246283078244,0.798826050674372,65901974.94736842,65901975.08911131,-0.07282487404358307,4088.798923184605,0.9723204545618392,136583510.29688486,136583513.53371325,-0.1318590957069492,4891.211893086235,3.5062661236357093
41,68207777.61603376,68207781.07779703,0.15472961900346427,2545.18106007576,0.8073920718522781,60826590.10526316,60826590.07971182,0.00979782847889965,3941.4995478203423,0.9621059145967954,135138878.98196495,135138891.11707154,-0.11988759944188576,4855.547401677436,3.4874418390885698
42,71717220.76793249,71717225.96099663,0.11123854266827327,2555.0446241711766,0.8091648303536914,62422935.78947368,62422935.224538215,-0.01618923452813048,3970.0385977218025,0.969043753618687,135105559.06369025,135105563.82474872,-0.11961141823981447,4852.416041366148,3.4819198091369494
43,61328271.616033755,61328272.36807259,0.23998448078389945,2543.713609015388,0.8037874546887083,59243342.0,59243341.55686589,0.035571690260813194,3886.136839490188,0.9563418637764574,134156092.1084626,134156084.41658561,-0.11174314134085628,4800.3105191940285,3.4251118582056104
