source,source_row,source_col,method,metric,train,dataset,value
Mar23.csv,16,8,ctgan,test_f1_macro_end,synthetic,Covertype,0.4748430987470255
Mar23.csv,16,9,ctgan,test_f1_macro_end,synthetic,MNIST12,0.4703916885190288
Mar23.csv,16,10,ctgan,test_f1_macro_end,synthetic,MNIST28,0.3916204066192958
Mar23.csv,16,11,ctgan,test_f1_macro_max,mix,Adult_mix,0.7869957962018506
Mar23.csv,16,15,ctgan,test_f1_macro_max,synthetic,Adult,0.7761298938352998
Mar23.csv,16,16,ctgan,test_f1_macro_max,synthetic,Census,0.7733715607676727
Mar23.csv,16,17,ctgan,test_f1_macro_max,synthetic,Covertype,0.4835195285184258
Mar23.csv,16,18,ctgan,test_f1_macro_max,synthetic,MNIST12,0.4815952377192015
Mar23.csv,16,19,ctgan,test_f1_macro_max,synthetic,MNIST28,0.4453581081026362
Mar23.csv,16,20,ctgan,test_f1_micro_end,mix,Adult_mix,0.8482049128700399
Mar23.csv,16,24,ctgan,test_f1_micro_end,synthetic,Adult,0.8189166491706907
Mar23.csv,16,25,ctgan,test_f1_micro_end,synthetic,Census,0.8095737980264539
Mar23.csv,16,26,ctgan,test_f1_micro_end,synthetic,Covertype,0.6764025025171467
Mar23.csv,16,27,ctgan,test_f1_micro_end,synthetic,MNIST12,0.5326
Mar23.csv,16,28,ctgan,test_f1_micro_end,synthetic,MNIST28,0.4077
Mar23.csv,16,29,ctgan,test_f1_micro_max,mix,Adult_mix,0.8498845265588915
Mar23.csv,16,33,ctgan,test_f1_micro_max,synthetic,Adult,0.8328784379592694
Mar23.csv,16,34,ctgan,test_f1_micro_max,synthetic,Census,0.8260550073483098
Mar23.csv,16,35,ctgan,test_f1_micro_max,synthetic,Covertype,0.6803783034861406
Mar23.csv,16,36,ctgan,test_f1_micro_max,synthetic,MNIST12,0.5544
Mar23.csv,16,37,ctgan,test_f1_micro_max,synthetic,MNIST28,0.5341
Mar23.csv,17,2,gaussian,test_f1_macro_end,mix,Adult_mix,0.6655876388468094
Mar23.csv,17,6,gaussian,test_f1_macro_end,synthetic,Adult,0.5681211657622532
Mar23.csv,17,7,gaussian,test_f1_macro_end,synthetic,Census,0.6345683180015191
Mar23.csv,17,8,gaussian,test_f1_macro_end,synthetic,Covertype,0.3573125747419766
Mar23.csv,17,9,gaussian,test_f1_macro_end,synthetic,MNIST12,0.3054183029267149
Mar23.csv,17,10,gaussian,test_f1_macro_end,synthetic,MNIST28,0.4723245548384792
